,2020-2021,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,17.0,16.6,17.0,5.0,27.0,26.0
2,192308.0,192308.0,192308.0,192308.0,192308.0,192308.0
3,29.0,12.0,28.0,15.0,28.0,28.0
4,1.0,0.0,3.0,0.0,0.0,1.0
5,1.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.0,6.0
6,2330.0,0.0,756.0,0.0,0.0,2212.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,26.0,13.0,36.0,17.0,32.0,27.0
9,12.0,3.0,4.0,5.0,8.0,8.0
10,93.0,67.0,89.0,93.0,96.0,89.0
11,3.0,10.0,4.0,4.0,1.0,7.0
12,6.0,3.0,3.0,5.0,7.0,4.0
13,6.0,3.0,3.0,5.0,7.0,4.0
14,0.0,0.0,1.0,0.0,1.0,0.0
15,48.0,42.0,50.0,47.0,50.0,75.0
16,28.0,17.0,18.0,20.0,36.0,14.0
17,24.0,42.0,32.0,33.0,14.0,11.0
