,2018-2019,2017-2018,2019-2020,2020-2021,2021-2022
1,27.0,1.5,13.0,19.0,22.0
2,14808.0,14808.0,153846.0,153846.0,153846.0
3,28.0,5.0,13.0,19.0,25.0
4,1.0,0.0,0.0,0.0,5.0
5,1.0,1.3333333333333333,1.3333333333333333,1.0,2.0
6,2231.0,0.0,0.0,0.0,390.0
7,0.0,0.0,0.0,0.0,0.0
8,24.0,2.0,7.0,8.0,9.0
9,12.0,2.0,4.0,10.0,17.0
10,93.0,60.0,69.0,84.0,92.0
11,3.0,3.0,8.0,5.0,2.0
12,2.0,12.0,1.0,12.0,2.0
13,2.0,0.0,1.0,0.0,2.0
14,1.0,0.0,0.0,0.0,0.0
15,79.0,80.0,77.0,84.0,80.0
16,7.0,0.0,8.0,11.0,12.0
17,14.0,20.0,15.0,5.0,8.0
