,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Montpellier,Villarreal,Villarreal
1,1.5,6.5,6.5,9.0,6.5,6.0,30.0,24.0
2,"€44,019.00","€45,558.00","€46,000.00","€34,615.00","€56,923.00","€104,231.00","GROSS P/W
(IN EUR)","€104,231.00"
3,22,36,38,26,27,25,2,32
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,27,43,53,45,35,27,6,28
9,6,12,10,6,7,8,,14
10,100%,100%,100%,100%,100%,100%,100%,100%
11,6,,,4,11,,33,6
12,58%,95%,100%,68%,71%,93%,5%,84%
13,4,4,4,3,3,,,2
14,,1,,,,,1,
15,36%,33%,50%,38%,37%,44%,0,44%
16,36%,25%,18%,19%,33%,28%,0,28%
17,27%,42%,32%,42%,30%,28%,100%,28%
