,2018-2019,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,10.0,10.0,10.0,17.0,9.0,10.0,10.0,10.0,10.0
2,84615.0,33462.0,40346.0,41750.0,42154.0,42115.0,84615.0,84615.0,84615.0
3,34.0,35.0,25.0,20.0,35.0,14.0,31.0,28.0,35.0
4,7.0,7.0,1.0,2.0,7.0,4.0,5.0,5.0,4.0
5,3.0,4.0,1.0,3.125,1.0,2.0,2.0,2.0,10.0
6,340.0,388.0,2020.0,509.0,344.0,195.0,476.0,389.0,696.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,35.0,31.0,27.0,8.0,26.0,12.0,28.0,26.0,27.0
9,9.0,10.0,9.0,8.0,10.0,4.0,9.0,7.0,11.0
10,79.0,91.0,100.0,65.0,80.0,50.0,84.0,82.0,97.0
11,10.0,3.0,6.5,7.0,10.0,8.0,5.0,6.0,3.0
12,6.0,6.0,5.0,2.0,5.0,1.0,4.0,1.0,3.0
13,6.0,6.0,5.0,2.0,5.0,1.0,4.0,1.0,3.0
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,32.0,49.0,44.0,55.0,49.0,29.0,35.0,29.0,37.0
16,38.0,29.0,16.0,20.0,17.0,21.0,29.0,32.0,34.0
17,29.0,23.0,40.0,25.0,34.0,50.0,35.0,39.0,29.0
