,2013-2014,2014-2015,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Freiburg,Freiburg,Freiburg,Borussia Dortmund,Borussia Dortmund,Wolfsburg,Wolfsburg
1,5.0,3.0,3.0,10.0,18.0,2.5,8.0
2,"€75,942.00","€76,654.00","€40,385.00","€40,385.00","GROSS P/W
(IN EUR)","€40,385.00","€40,385.00"
3,1,24,25,20,18,24,22
4,,1,9,9,1,6,1
5,,2,2,1,1,1,4
6,,1167,215,134,756,185,962
7,,,,,,,
8,,20,39,12,5,16,13
9,,5,3,8,7,8,6
10,,42%,92%,75%,50%,54%,55%
11,1,15,2,7,14,15,18
12,3%,71%,74%,59%,53%,75%,65%
13,,4,5,,,3,2
14,,,,,,,
15,0,17%,36%,50%,67%,58%,36%
16,0,38%,20%,25%,28%,21%,18%
17,100%,46%,44%,25%,6%,21%,45%
